"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 20:21:16 WIB 2024","Sat Jun 08 20:21:16 WIB 2024","275","","Tambah Stakeholder: As a user, I can add stakeholder and fill mandatory form","","","","And User redirect to 'tanah' page",""
"passed","Sat Jun 08 20:21:22 WIB 2024","Sat Jun 08 20:21:25 WIB 2024","3070","","Tambah Daftar Tanah: As a user, I can add new 'daftar tanah'","","","","When User click card project on dashboard",""
"passed","Sat Jun 08 20:21:00 WIB 2024","Sat Jun 08 20:21:00 WIB 2024","370","","Tambah Daftar Tanah: As a user, I can see list daftar tanah","","","","Given User is in a 'login' Page",""
"skipped","Sat Jun 08 20:21:12 WIB 2024","Sat Jun 08 20:21:12 WIB 2024","1","","Tambah Stakeholder: As a user, I can't add stakeholder and fill name with symbol","","","","And User fill alamat 'Jl. Aja Dulu'",""
"passed","Sat Jun 08 20:21:22 WIB 2024","Sat Jun 08 20:21:22 WIB 2024","80","","Tambah Daftar Tanah: As a user, I can add new 'daftar tanah'","","","","Given User is in a 'login' Page",""
"failed","Sat Jun 08 20:21:06 WIB 2024","Sat Jun 08 20:21:06 WIB 2024","1","","","","","","hook:",""
"skipped","Sat Jun 08 20:21:12 WIB 2024","Sat Jun 08 20:21:12 WIB 2024","1","","Tambah Peta Rincik: As a user, I can add peta rincik if there's already previous file","","","","And User can see peta rincik that has been added before",""
"skipped","Sat Jun 08 20:21:12 WIB 2024","Sat Jun 08 20:21:12 WIB 2024","0","","Tambah Stakeholder: As a user, I can't add stakeholder and fill name with symbol","","","","And User fill nama stakeholder '@&^%%(*!&(*&@%'",""
"passed","Sat Jun 08 20:21:01 WIB 2024","Sat Jun 08 20:21:02 WIB 2024","1074","","Login Dashboard: As a user, I can log into dashboard","","","","When User login with 'automation5@gmail.com' and 'automation5@gmail.com'",""
"passed","Sat Jun 08 20:21:00 WIB 2024","Sat Jun 08 20:21:01 WIB 2024","1287","","Login Dashboard: As a user, I can log into dashboard","","","","Given User is in a 'login' Page",""
"failed","Sat Jun 08 20:21:27 WIB 2024","Sat Jun 08 20:21:27 WIB 2024","0","","","","","","hook:",""
"failed","Sat Jun 08 20:21:20 WIB 2024","Sat Jun 08 20:21:20 WIB 2024","0","","","","","","hook:",""
"skipped","Sat Jun 08 20:21:12 WIB 2024","Sat Jun 08 20:21:12 WIB 2024","1","","Tambah Stakeholder: As a user, I can't add stakeholder and fill name with symbol","","","","And User upload file dokumen '314849.jpg'",""
"failed","Sat Jun 08 20:21:11 WIB 2024","Sat Jun 08 20:21:11 WIB 2024","1","","","","","","hook:",""
"broken","Sat Jun 08 20:21:02 WIB 2024","Sat Jun 08 20:21:12 WIB 2024","10047","","Tambah Peta Rincik: As a user, I can add peta rincik if there's already previous file","","","","And User click card project on dashboard",""
"failed","Sat Jun 08 20:21:12 WIB 2024","Sat Jun 08 20:21:12 WIB 2024","2","","","","","","hook:",""
"failed","Sat Jun 08 20:21:12 WIB 2024","Sat Jun 08 20:21:12 WIB 2024","1","","","","","","hook:",""
"passed","Sat Jun 08 20:21:01 WIB 2024","Sat Jun 08 20:21:02 WIB 2024","1283","","Tambah Stakeholder: As a user, I can't add stakeholder and fill name with symbol","","","","And User login with 'automation5@gmail.com' and 'automation5@gmail.com'",""
